tag,phase,model,dataset,level,axis,treatment,seed,val_acc,val_acc_mean,val_acc_std,n_seeds,psnr_mean,psnr_std,ssim_mean,ssim_std,epochs_run,runtime_s,status
final_B2_L5_resnet50_cifar10,B2,resnet50,cifar10,5,,T3,42,0.24860000610351562,,,1,12.39627456665039,2.4960403442382812,0.6237173676490784,0.10801724344491959,24,1210.3129999998491,Complete
final_B2_L5_resnet50_mnist,B2,resnet50,mnist,5,,T3,42,0.3483999967575073,,,1,9.603363990783691,2.4242351055145264,0.41941672563552856,0.12054192274808884,33,1689.0620000001509,Complete
final_B2_L5_transnext_tiny_cifar10,B2,transnext_tiny,cifar10,5,,T3,42,0.26499998569488525,,,1,12.39627456665039,2.4960403442382812,0.6237173676490784,0.10801724344491959,22,3942.312000000151,Complete
final_B2_L5_transnext_tiny_mnist,B2,transnext_tiny,mnist,5,,T3,42,0.34940001368522644,,,1,9.603363990783691,2.4242351055145264,0.41941672563552856,0.12054192274808884,27,4879.0160000000615,Complete
final_B2nr_L3_densenet121_cifar10,B2nr,densenet121,cifar10,3,,,42,0.4106000065803528,0.40753333767255145,0.003151016632738436,3,15.241291046142578,1.7207525968551636,0.6733287572860718,0.0791633203625679,16,1018.8909999998286,Complete
final_B2nr_L3_densenet121_mnist,B2nr,densenet121,mnist,3,,,42,0.8514000177383423,0.8570000131924947,0.0055713483429282755,3,13.048843383789062,1.54022216796875,0.5855075120925903,0.07740084081888199,26,1671.75,Complete
final_B2nr_L3_resnet50_cifar10,B2nr,resnet50,cifar10,3,,,42,0.3977999985218048,0.4030666649341583,0.0040998612067723195,3,15.241291046142578,1.7207525968551636,0.6733287572860718,0.0791633203625679,14,660.3279999999795,Complete
final_B2nr_L3_resnet50_mnist,B2nr,resnet50,mnist,3,,,42,0.8575999736785889,0.8574000000953674,0.000432038299405364,3,13.048843383789062,1.54022216796875,0.5855075120925903,0.07740084081888199,29,1385.7659999998286,Complete
final_B2nr_L3_transnext_tiny_cifar10,B2nr,transnext_tiny,cifar10,3,,,42,0.43880000710487366,0.43573333819707233,0.0027145656804840493,3,15.241291046142578,1.7207525968551636,0.6733287572860718,0.0791633203625679,14,2439.436999999918,Complete
final_B2nr_L3_transnext_tiny_mnist,B2nr,transnext_tiny,mnist,3,,,42,0.8474000096321106,0.8461333314577738,0.0028394164706691677,3,13.048843383789062,1.54022216796875,0.5855075120925903,0.07740084081888199,37,6472.6720000000205,Complete
final_B_L1_densenet121_cifar10,B,densenet121,cifar10,1,,,42,0.7847999930381775,,,1,21.22579002380371,1.544506311416626,0.8010480403900146,0.04082350432872772,45,2636.063000000082,Complete
final_B_L1_densenet121_mnist,B,densenet121,mnist,1,,,42,0.9873999953269958,,,1,19.555505752563477,1.7537661790847778,0.5766915678977966,0.03037792257964611,18,1066.4220000000205,Complete
final_B_L1_resnet50_cifar10,B,resnet50,cifar10,1,,,42,0.7645999789237976,,,1,21.22579002380371,1.544506311416626,0.8010480403900146,0.04082350432872772,21,910.765000000014,Complete
final_B_L1_resnet50_mnist,B,resnet50,mnist,1,,,42,0.9918000102043152,,,1,19.555505752563477,1.7537661790847778,0.5766915678977966,0.03037792257964611,33,1443.905999999959,Complete
final_B_L1_transnext_tiny_cifar10,B,transnext_tiny,cifar10,1,,,42,0.8758000135421753,,,1,21.22579002380371,1.544506311416626,0.8010480403900146,0.04082350432872772,26,4347.2179999999935,Complete
final_B_L1_transnext_tiny_mnist,B,transnext_tiny,mnist,1,,,42,0.9896000027656555,,,1,19.555505752563477,1.7537661790847778,0.5766915678977966,0.03037792257964611,30,5014.4379999999655,Complete
final_B_L2_densenet121_cifar10,B,densenet121,cifar10,2,,,42,0.5368000268936157,,,1,17.543922424316406,1.3167108297348022,0.6972057819366455,0.05896536260843277,14,828.5929999999935,Complete
final_B_L2_densenet121_mnist,B,densenet121,mnist,2,,,42,0.965399980545044,,,1,15.496427536010742,1.3028600215911865,0.42281824350357056,0.03856607526540756,53,3173.4689999999246,Complete
final_B_L2_resnet50_cifar10,B,resnet50,cifar10,2,,,42,0.5393999814987183,,,1,17.543922424316406,1.3167108297348022,0.6972057819366455,0.05896536260843277,31,1365.969000000041,Complete
final_B_L2_resnet50_mnist,B,resnet50,mnist,2,,,42,0.9635999798774719,,,1,15.496427536010742,1.3028600215911865,0.42281824350357056,0.03856607526540756,45,2012.344000000041,Complete
final_B_L2_transnext_tiny_cifar10,B,transnext_tiny,cifar10,2,,,42,0.6421999931335449,,,1,17.543922424316406,1.3167108297348022,0.6972057819366455,0.05896536260843277,22,3673.6410000000615,Complete
final_B_L2_transnext_tiny_mnist,B,transnext_tiny,mnist,2,,,42,0.9599999785423279,,,1,15.496427536010742,1.3028600215911865,0.42281824350357056,0.03856607526540756,16,2682.75,Complete
final_B_L3_densenet121_cifar10,B,densenet121,cifar10,3,,,42,0.3959999978542328,0.38540000716845196,0.007812803906038465,3,14.874027252197266,1.4139035940170288,0.6350591778755188,0.07825718075037003,15,909.7179999999935,Complete
final_B_L3_densenet121_mnist,B,densenet121,mnist,3,,,42,0.819599986076355,0.8079333305358887,0.008425876815811922,3,12.576668739318848,1.3035645484924316,0.3175475597381592,0.04275445640087128,47,2874.0,Complete
final_B_L3_resnet50_cifar10,B,resnet50,cifar10,3,,,42,0.358599990606308,0.3631333311398824,0.008317583471234175,3,14.874027252197266,1.4139035940170288,0.6350591778755188,0.07825718075037003,13,587.719000000041,Complete
final_B_L3_resnet50_mnist,B,resnet50,mnist,3,,,42,0.7886000275611877,0.7916666865348816,0.007975524559301108,3,12.576668739318848,1.3035645484924316,0.3175475597381592,0.04275445640087128,14,643.625,Complete
final_B_L3_transnext_tiny_cifar10,B,transnext_tiny,cifar10,3,,,42,0.38999998569488525,0.39479999740918476,0.006231112041884804,3,14.874027252197266,1.4139035940170288,0.6350591778755188,0.07825718075037003,13,2188.6720000000205,Complete
final_B_L3_transnext_tiny_mnist,B,transnext_tiny,mnist,3,,,42,0.7993999719619751,0.8004666566848755,0.0011115564086783974,3,12.576668739318848,1.3035645484924316,0.3175475597381592,0.04275445640087128,15,2535.280999999959,Complete
final_B_L4_densenet121_cifar10,B,densenet121,cifar10,4,,,42,0.28519999980926514,,,1,13.097561836242676,1.4104716777801514,0.6013230085372925,0.08745517581701279,16,1010.030999999959,Complete
final_B_L4_densenet121_mnist,B,densenet121,mnist,4,,,42,0.5807999968528748,,,1,10.897726058959961,1.3057552576065063,0.24776911735534668,0.04829176515340805,15,952.515999999945,Complete
final_B_L4_resnet50_cifar10,B,resnet50,cifar10,4,,,42,0.26840001344680786,,,1,13.097561836242676,1.4104716777801514,0.6013230085372925,0.08745517581701279,14,663.4370000000345,Complete
final_B_L4_resnet50_mnist,B,resnet50,mnist,4,,,42,0.5644000172615051,,,1,10.897726058959961,1.3057552576065063,0.24776911735534668,0.04829176515340805,14,669.4060000000754,Complete
final_B_L4_transnext_tiny_cifar10,B,transnext_tiny,cifar10,4,,,42,0.2849999964237213,,,1,13.097561836242676,1.4104716777801514,0.6013230085372925,0.08745517581701279,13,2217.4370000000345,Complete
final_B_L4_transnext_tiny_mnist,B,transnext_tiny,mnist,4,,,42,0.5723999738693237,,,1,10.897726058959961,1.3057552576065063,0.24776911735534668,0.04829176515340805,15,2565.7660000000615,Complete
final_B_L5_densenet121_cifar10,B,densenet121,cifar10,5,,,42,0.19580000638961792,,,1,10.847352027893066,1.8062080144882202,0.5662043690681458,0.10978245735168457,21,1379.109999999986,Complete
final_B_L5_densenet121_mnist,B,densenet121,mnist,5,,,42,0.2775999903678894,,,1,9.024060249328613,1.961860179901123,0.2465682029724121,0.07177931815385818,24,1581.7810000000754,Complete
final_B_L5_resnet50_cifar10,B,resnet50,cifar10,5,,,42,0.19059999287128448,,,1,10.847352027893066,1.8062080144882202,0.5662043690681458,0.10978245735168457,15,747.3129999999655,Complete
final_B_L5_resnet50_mnist,B,resnet50,mnist,5,,,42,0.2800000011920929,,,1,9.024060249328613,1.961860179901123,0.2465682029724121,0.07177931815385818,16,801.719000000041,Complete
final_B_L5_transnext_tiny_cifar10,B,transnext_tiny,cifar10,5,,,42,0.20100000500679016,,,1,10.847352027893066,1.8062080144882202,0.5662043690681458,0.10978245735168457,15,2588.765000000014,Complete
final_B_L5_transnext_tiny_mnist,B,transnext_tiny,mnist,5,,,42,0.27480000257492065,,,1,9.024060249328613,1.961860179901123,0.2465682029724121,0.07177931815385818,16,2771.296999999904,Complete
